cat,label,segment,next_segment,s_order,next_order,direction,azimuth,length,stright,sinusoid,elev_min,elev_max,s_drop,gradient,out_direction,out_azimuth,out_length,out_drop,out_gradient,tangent_dir,tangent_azimuth,next_direction,next_azimuth,area,lat,lon
27,,31,33,27,30,162.646,162.646,1600.69,1511.65,1.0589,1657.3,1568,89.3,0.0557883,153.435,153.435,1010.91,58.3,0.0576709,-57.2958,-57.2958,122.735,122.735,31838352.915227,51.2675,-115.62875
28,,44,43,28,29,320.44,140.44,2493.99,2403.57,1.03762,1633.5,1565.6,67.9,0.0272255,320.44,140.44,2494,62.8,0.0251804,-57.2958,-57.2958,319.764,139.764,7825680.741053,51.0975,-115.65
29,,43,41,29,41,326.31,146.31,4177.88,3921.02,1.06551,1565.6,1471.9,93.7,0.0224276,308.66,128.66,496.467,13.2,0.0265878,-57.2958,-57.2958,18.4349,18.4349,14634057.351642,51.115,-115.665
30,,33,35,30,47,150.945,150.945,10211.7,5302.54,1.92582,1568,1380.2,187.8,0.0183906,129.806,129.806,605.787,0,0,-57.2958,-57.2958,98.1301,98.1301,25777256.431627,51.2033333333333,-115.57625
31,,29,28,31,42,77.125,77.125,8264.45,6501.09,1.27124,1557.6,1430.5,127.1,0.0153791,47.7263,47.7263,1235.52,18.7001,0.0151354,-57.2958,-57.2958,111.801,111.801,76859211.147906,51.2108333333333,-115.96875
32,,13,16,32,33,120.735,120.735,3439.95,2959.42,1.16237,1554.1,1536.9,17.2,0.00500006,115.201,115.201,1396.33,3.09998,0.00222009,-57.2958,-57.2958,357.94,177.94,6490058.100125,51.4316666666667,-116.195833333333
33,,16,17,33,34,146.31,146.31,311.399,301.334,1.0334,1536.9,1534.9,2,0.00642263,161.565,161.565,294.77,0.800049,0.00271415,-57.2958,-57.2958,156.801,156.801,85985.542714,51.4233333333333,-116.179166666667
34,,17,20,34,37,132.614,132.614,3036.46,2578.41,1.17765,1534.9,1520.6,14.3,0.00470945,116.565,116.565,1506.08,4.40002,0.0029215,-57.2958,-57.2958,104.931,104.931,8090344.221418,51.4016666666667,-116.18
35,,40,36,35,46,329.036,149.036,3384.26,2972.67,1.13846,1535,1380.2,154.8,0.0457412,5.71059,5.71059,1011.1,19.8999,0.0196814,-57.2958,-57.2958,93.8141,93.8141,35488671.033169,51.1275,-115.598333333333
36,,19,21,36,38,163.301,163.301,1010.35,943.314,1.07106,1535,1513.1,21.9,0.0216757,174.289,174.289,1010.34,23.6001,0.0233585,-57.2958,-57.2958,86.1859,86.1859,30360222.358477,51.4691666666667,-116.111666666667
