cat,label,segment,next_segment,s_order,next_order,direction,azimuth,length,stright,sinusoid,elev_min,elev_max,s_drop,gradient,out_direction,out_azimuth,out_length,out_drop,out_gradient,tangent_dir,tangent_azimuth,next_direction,next_azimuth,area,lat,lon
"40",,"25","28","40","42",119.055,119.055,15741.3,13278.7,1.18545,1486.6,1430.5,56.1,0.00356388,129.56,129.56,2436.23,8.5,0.003489,-57.2958,-57.2958,111.801,111.801,112450824.455587,51.3116666666667,-116.025416666667
"31",,"29","28","31","42",77.125,77.125,8264.45,6501.09,1.27124,1557.6,1430.5,127.1,0.0153791,47.7263,47.7263,1235.52,18.7001,0.0151354,-57.2958,-57.2958,111.801,111.801,75607643.615978,51.2733333333333,-116.115833333333
"10",,"27","33","10","30",124.866,124.866,13405.7,10605.3,1.26406,1840.9,1568,272.9,0.020357,93.4682,93.4682,4560.05,134.2,0.0294295,-57.2958,-57.2958,122.735,122.735,93601199.31065,51.2225,-115.667083333333
"42",,"28","30","42","43",108.825,108.825,7480.46,5826.46,1.28388,1430.5,1415.8,14.7,0.00196511,94.3987,94.3987,910.31,1.90002,0.00208723,-57.2958,-57.2958,108.435,108.435,64102347.530086,51.25,-115.886666666667
"44",,"32","37","44","45",112.834,112.834,17462.9,11990.9,1.45634,1408.3,1385.1,23.2001,0.00132853,100.204,100.204,3682.7,1.70007,0.000461638,-57.2958,-57.2958,74.0546,74.0546,118200432.197334,51.1816666666667,-115.748333333333
"43",,"30","32","43","44",111.595,111.595,3953.3,3302.78,1.19696,1415.8,1408.3,7.5,0.00189715,90,90,568.232,1,0.00175984,-57.2958,-57.2958,90,90,11116766.386447,51.2241666666667,-115.843333333333
"27",,"31","33","27","30",162.646,162.646,1600.69,1511.65,1.0589,1657.3,1568,89.3,0.0557883,153.435,153.435,1010.91,58.3,0.0576709,-57.2958,-57.2958,122.735,122.735,31962196.279338,51.2675,-115.62375
"30",,"33","35","30","47",150.945,150.945,10211.7,5302.54,1.92582,1568,1380.2,187.8,0.0183906,129.806,129.806,605.787,0,0,-57.2958,-57.2958,98.1301,98.1301,19956386.533528,51.2033333333333,-115.592083333333
"22",,"34","32","22","44",65.4542,65.4542,10898.2,9145.04,1.19171,1735.1,1408.3,326.8,0.0299866,14.0362,14.0362,462.589,33.1,0.0715538,-57.2958,-57.2958,90,90,62988643.478341,51.1958333333333,-115.893333333333
"46",,"36","35","46","47",78.9591,78.9591,3106.76,2501.93,1.24175,1380.2,1380.2,0,0,74.4759,74.4759,2610.44,0,0,-57.2958,-57.2958,98.1301,98.1301,9589647.043101,51.17,-115.60375
