cat,a_cat,a_label,a_segment,a_next_segment,a_s_order,a_next_order,a_direction,a_azimuth,a_length,a_stright,a_sinusoid,a_elev_min,a_elev_max,a_s_drop,a_gradient,a_out_direction,a_out_azimuth,a_out_length,a_out_drop,a_out_gradient,a_tangent_dir,a_tangent_azimuth,a_next_direction,a_next_azimuth,a_area,a_lat,a_lon,b_cat,b_value,b_label,test,area
2365,13,,4,7,13,21,170.811,170.811,7006.12,6336.63,1.10565,1817.2,1745,72.2001,0.0103053,192.529,12.5288,3536.03,32.7,0.00924763,-57.2958,-57.2958,130.236,130.236,28730286.397531,51.6116666666667,-116.31375,2310,10,,,10705.408378
2366,13,,4,7,13,21,170.811,170.811,7006.12,6336.63,1.10565,1817.2,1745,72.2001,0.0103053,192.529,12.5288,3536.03,32.7,0.00924763,-57.2958,-57.2958,130.236,130.236,28730286.397531,51.6116666666667,-116.31375,2329,10,,,5352.801418
2367,13,,4,7,13,21,170.811,170.811,7006.12,6336.63,1.10565,1817.2,1745,72.2001,0.0103053,192.529,12.5288,3536.03,32.7,0.00924763,-57.2958,-57.2958,130.236,130.236,28730286.397531,51.6116666666667,-116.31375,2311,1,,,5352.704189
2368,13,,4,7,13,21,170.811,170.811,7006.12,6336.63,1.10565,1817.2,1745,72.2001,0.0103053,192.529,12.5288,3536.03,32.7,0.00924763,-57.2958,-57.2958,130.236,130.236,28730286.397531,51.6116666666667,-116.31375,2330,7,,,10705.602836
2369,13,,4,7,13,21,170.811,170.811,7006.12,6336.63,1.10565,1817.2,1745,72.2001,0.0103053,192.529,12.5288,3536.03,32.7,0.00924763,-57.2958,-57.2958,130.236,130.236,28730286.397531,51.6116666666667,-116.31375,2331,4,,,2077190.087202
2370,13,,4,7,13,21,170.811,170.811,7006.12,6336.63,1.10565,1817.2,1745,72.2001,0.0103053,192.529,12.5288,3536.03,32.7,0.00924763,-57.2958,-57.2958,130.236,130.236,28730286.397531,51.6116666666667,-116.31375,2312,7,,,5352.704189
2371,6,,5,9,6,17,117.672,117.672,7601.3,6191.36,1.22773,1933.2,1789.1,144.1,0.0189573,135,135,956.488,53.6001,0.0560384,-57.2958,-57.2958,169.695,169.695,56921335.04393,51.5883333333333,-116.214583333333,2313,5,,,96352.758959
2372,6,,5,9,6,17,117.672,117.672,7601.3,6191.36,1.22773,1933.2,1789.1,144.1,0.0189573,135,135,956.488,53.6001,0.0560384,-57.2958,-57.2958,169.695,169.695,56921335.04393,51.5883333333333,-116.214583333333,2331,4,,,910105.934582
2373,6,,5,9,6,17,117.672,117.672,7601.3,6191.36,1.22773,1933.2,1789.1,144.1,0.0189573,135,135,956.488,53.6001,0.0560384,-57.2958,-57.2958,169.695,169.695,56921335.04393,51.5883333333333,-116.214583333333,2314,3,,,5352.704189
2374,6,,5,9,6,17,117.672,117.672,7601.3,6191.36,1.22773,1933.2,1789.1,144.1,0.0189573,135,135,956.488,53.6001,0.0560384,-57.2958,-57.2958,169.695,169.695,56921335.04393,51.5883333333333,-116.214583333333,2338,3,,,5352.801418
2375,3,,3,8,3,15,166.884,166.884,11504.2,9649.78,1.19217,1967.9,1801.1,166.8,0.0144991,232.431,52.4314,1306.99,16.2,0.0123949,-57.2958,-57.2958,135,135,116312015.727092,51.6516666666667,-116.16,2315,5,,,5352.704189
2376,3,,3,8,3,15,166.884,166.884,11504.2,9649.78,1.19217,1967.9,1801.1,166.8,0.0144991,232.431,52.4314,1306.99,16.2,0.0123949,-57.2958,-57.2958,135,135,116312015.727092,51.6516666666667,-116.16,2318,8,,,5352.704189
2377,3,,3,8,3,15,166.884,166.884,11504.2,9649.78,1.19217,1967.9,1801.1,166.8,0.0144991,232.431,52.4314,1306.99,16.2,0.0123949,-57.2958,-57.2958,135,135,116312015.727092,51.6516666666667,-116.16,2299,7,,,16057.918108
2378,3,,3,8,3,15,166.884,166.884,11504.2,9649.78,1.19217,1967.9,1801.1,166.8,0.0144991,232.431,52.4314,1306.99,16.2,0.0123949,-57.2958,-57.2958,135,135,116312015.727092,51.6516666666667,-116.16,2302,7,,,16058.015338
2379,3,,3,8,3,15,166.884,166.884,11504.2,9649.78,1.19217,1967.9,1801.1,166.8,0.0144991,232.431,52.4314,1306.99,16.2,0.0123949,-57.2958,-57.2958,135,135,116312015.727092,51.6516666666667,-116.16,2320,5,,,5352.704189
2380,18,,6,7,18,21,103.791,103.791,8258.25,6829.4,1.20922,1780,1745,35,0.00423819,90,90,796.278,0.300049,0.000376814,-57.2958,-57.2958,130.236,130.236,73901795.365303,51.585,-116.400833333333,2321,3,,,10705.602836
2381,18,,6,7,18,21,103.791,103.791,8258.25,6829.4,1.20922,1780,1745,35,0.00423819,90,90,796.278,0.300049,0.000376814,-57.2958,-57.2958,130.236,130.236,73901795.365303,51.585,-116.400833333333,2325,5,,,5352.801418
2382,18,,6,7,18,21,103.791,103.791,8258.25,6829.4,1.20922,1780,1745,35,0.00423819,90,90,796.278,0.300049,0.000376814,-57.2958,-57.2958,130.236,130.236,73901795.365303,51.585,-116.400833333333,2326,4,,,10705.602836
2383,18,,6,7,18,21,103.791,103.791,8258.25,6829.4,1.20922,1780,1745,35,0.00423819,90,90,796.278,0.300049,0.000376814,-57.2958,-57.2958,130.236,130.236,73901795.365303,51.585,-116.400833333333,2327,7,,,273003.17832
2384,18,,6,7,18,21,103.791,103.791,8258.25,6829.4,1.20922,1780,1745,35,0.00423819,90,90,796.278,0.300049,0.000376814,-57.2958,-57.2958,130.236,130.236,73901795.365303,51.585,-116.400833333333,2328,8,,,5352.801418
2385,13,,4,7,13,21,170.811,170.811,7006.12,6336.63,1.10565,1817.2,1745,72.2001,0.0103053,192.529,12.5288,3536.03,32.7,0.00924763,-57.2958,-57.2958,130.236,130.236,28730286.397531,51.6116666666667,-116.31375,2347,9,,,867313.368921
2386,13,,4,7,13,21,170.811,170.811,7006.12,6336.63,1.10565,1817.2,1745,72.2001,0.0103053,192.529,12.5288,3536.03,32.7,0.00924763,-57.2958,-57.2958,130.236,130.236,28730286.397531,51.6116666666667,-116.31375,2332,7,,,21411.205671
2387,13,,4,7,13,21,170.811,170.811,7006.12,6336.63,1.10565,1817.2,1745,72.2001,0.0103053,192.529,12.5288,3536.03,32.7,0.00924763,-57.2958,-57.2958,130.236,130.236,28730286.397531,51.6116666666667,-116.31375,2348,9,,,26764.493227
2388,13,,4,7,13,21,170.811,170.811,7006.12,6336.63,1.10565,1817.2,1745,72.2001,0.0103053,192.529,12.5288,3536.03,32.7,0.00924763,-57.2958,-57.2958,130.236,130.236,28730286.397531,51.6116666666667,-116.31375,2349,9,,,5352.898645
2389,6,,5,9,6,17,117.672,117.672,7601.3,6191.36,1.22773,1933.2,1789.1,144.1,0.0189573,135,135,956.488,53.6001,0.0560384,-57.2958,-57.2958,169.695,169.695,56921335.04393,51.5883333333333,-116.214583333333,2334,4,,,5352.801418
2390,6,,5,9,6,17,117.672,117.672,7601.3,6191.36,1.22773,1933.2,1789.1,144.1,0.0189573,135,135,956.488,53.6001,0.0560384,-57.2958,-57.2958,169.695,169.695,56921335.04393,51.5883333333333,-116.214583333333,2335,8,,,5352.801418
2391,6,,5,9,6,17,117.672,117.672,7601.3,6191.36,1.22773,1933.2,1789.1,144.1,0.0189573,135,135,956.488,53.6001,0.0560384,-57.2958,-57.2958,169.695,169.695,56921335.04393,51.5883333333333,-116.214583333333,2351,9,,,165945.205391
2392,6,,5,9,6,17,117.672,117.672,7601.3,6191.36,1.22773,1933.2,1789.1,144.1,0.0189573,135,135,956.488,53.6001,0.0560384,-57.2958,-57.2958,169.695,169.695,56921335.04393,51.5883333333333,-116.214583333333,2336,4,,,5352.801418
2393,6,,5,9,6,17,117.672,117.672,7601.3,6191.36,1.22773,1933.2,1789.1,144.1,0.0189573,135,135,956.488,53.6001,0.0560384,-57.2958,-57.2958,169.695,169.695,56921335.04393,51.5883333333333,-116.214583333333,2337,7,,,5352.801418
2394,6,,5,9,6,17,117.672,117.672,7601.3,6191.36,1.22773,1933.2,1789.1,144.1,0.0189573,135,135,956.488,53.6001,0.0560384,-57.2958,-57.2958,169.695,169.695,56921335.04393,51.5883333333333,-116.214583333333,2316,7,,,2730469.655444
2395,3,,3,8,3,15,166.884,166.884,11504.2,9649.78,1.19217,1967.9,1801.1,166.8,0.0144991,232.431,52.4314,1306.99,16.2,0.0123949,-57.2958,-57.2958,135,135,116312015.727092,51.6516666666667,-116.16,2339,9,,,5352.801418
2396,3,,3,8,3,15,166.884,166.884,11504.2,9649.78,1.19217,1967.9,1801.1,166.8,0.0144991,232.431,52.4314,1306.99,16.2,0.0123949,-57.2958,-57.2958,135,135,116312015.727092,51.6516666666667,-116.16,2319,7,,,69587.779601
2397,3,,3,8,3,15,166.884,166.884,11504.2,9649.78,1.19217,1967.9,1801.1,166.8,0.0144991,232.431,52.4314,1306.99,16.2,0.0123949,-57.2958,-57.2958,135,135,116312015.727092,51.6516666666667,-116.16,2244,9,,,267646.196006
2398,18,,6,7,18,21,103.791,103.791,8258.25,6829.4,1.20922,1780,1745,35,0.00423819,90,90,796.278,0.300049,0.000376814,-57.2958,-57.2958,130.236,130.236,73901795.365303,51.585,-116.400833333333,2322,5,,,21411.497354
2399,18,,6,7,18,21,103.791,103.791,8258.25,6829.4,1.20922,1780,1745,35,0.00423819,90,90,796.278,0.300049,0.000376814,-57.2958,-57.2958,130.236,130.236,73901795.365303,51.585,-116.400833333333,2340,5,,,5352.898645
2400,18,,6,7,18,21,103.791,103.791,8258.25,6829.4,1.20922,1780,1745,35,0.00423819,90,90,796.278,0.300049,0.000376814,-57.2958,-57.2958,130.236,130.236,73901795.365303,51.585,-116.400833333333,2341,3,,,5352.898645
2401,18,,6,7,18,21,103.791,103.791,8258.25,6829.4,1.20922,1780,1745,35,0.00423819,90,90,796.278,0.300049,0.000376814,-57.2958,-57.2958,130.236,130.236,73901795.365303,51.585,-116.400833333333,2356,5,,,37472.332238
2402,18,,6,7,18,21,103.791,103.791,8258.25,6829.4,1.20922,1780,1745,35,0.00423819,90,90,796.278,0.300049,0.000376814,-57.2958,-57.2958,130.236,130.236,73901795.365303,51.585,-116.400833333333,2324,4,,,10705.700063
2403,18,,6,7,18,21,103.791,103.791,8258.25,6829.4,1.20922,1780,1745,35,0.00423819,90,90,796.278,0.300049,0.000376814,-57.2958,-57.2958,130.236,130.236,73901795.365303,51.585,-116.400833333333,2358,5,,,5352.995871
2404,13,,4,7,13,21,170.811,170.811,7006.12,6336.63,1.10565,1817.2,1745,72.2001,0.0103053,192.529,12.5288,3536.03,32.7,0.00924763,-57.2958,-57.2958,130.236,130.236,28730286.397531,51.6116666666667,-116.31375,2344,10,,,5352.898645
2405,13,,4,7,13,21,170.811,170.811,7006.12,6336.63,1.10565,1817.2,1745,72.2001,0.0103053,192.529,12.5288,3536.03,32.7,0.00924763,-57.2958,-57.2958,130.236,130.236,28730286.397531,51.6116666666667,-116.31375,2346,10,,,10705.797291
2406,13,,4,7,13,21,170.811,170.811,7006.12,6336.63,1.10565,1817.2,1745,72.2001,0.0103053,192.529,12.5288,3536.03,32.7,0.00924763,-57.2958,-57.2958,130.236,130.236,28730286.397531,51.6116666666667,-116.31375,2333,5,,,74940.678256
2407,3,,3,8,3,15,166.884,166.884,11504.2,9649.78,1.19217,1967.9,1801.1,166.8,0.0144991,232.431,52.4314,1306.99,16.2,0.0123949,-57.2958,-57.2958,135,135,116312015.727092,51.6516666666667,-116.16,2316,7,,,10705.797291
2408,3,,3,8,3,15,166.884,166.884,11504.2,9649.78,1.19217,1967.9,1801.1,166.8,0.0144991,232.431,52.4314,1306.99,16.2,0.0123949,-57.2958,-57.2958,135,135,116312015.727092,51.6516666666667,-116.16,2366,5,,,10705.991743
2409,3,,3,8,3,15,166.884,166.884,11504.2,9649.78,1.19217,1967.9,1801.1,166.8,0.0144991,232.431,52.4314,1306.99,16.2,0.0123949,-57.2958,-57.2958,135,135,116312015.727092,51.6516666666667,-116.16,2353,3,,,1948695.148388
2410,3,,3,8,3,15,166.884,166.884,11504.2,9649.78,1.19217,1967.9,1801.1,166.8,0.0144991,232.431,52.4314,1306.99,16.2,0.0123949,-57.2958,-57.2958,135,135,116312015.727092,51.6516666666667,-116.16,2370,5,,,5352.995872
2411,3,,3,8,3,15,166.884,166.884,11504.2,9649.78,1.19217,1967.9,1801.1,166.8,0.0144991,232.431,52.4314,1306.99,16.2,0.0123949,-57.2958,-57.2958,135,135,116312015.727092,51.6516666666667,-116.16,2267,2,,,1477544.593897
2412,18,,6,7,18,21,103.791,103.791,8258.25,6829.4,1.20922,1780,1745,35,0.00423819,90,90,796.278,0.300049,0.000376814,-57.2958,-57.2958,130.236,130.236,73901795.365303,51.585,-116.400833333333,2373,3,,,5353.093097
2413,18,,6,7,18,21,103.791,103.791,8258.25,6829.4,1.20922,1780,1745,35,0.00423819,90,90,796.278,0.300049,0.000376814,-57.2958,-57.2958,130.236,130.236,73901795.365303,51.585,-116.400833333333,2342,3,,,26764.882131
2414,18,,6,7,18,21,103.791,103.791,8258.25,6829.4,1.20922,1780,1745,35,0.00423819,90,90,796.278,0.300049,0.000376814,-57.2958,-57.2958,130.236,130.236,73901795.365303,51.585,-116.400833333333,2375,7,,,5353.093097
2415,18,,6,7,18,21,103.791,103.791,8258.25,6829.4,1.20922,1780,1745,35,0.00423819,90,90,796.278,0.300049,0.000376814,-57.2958,-57.2958,130.236,130.236,73901795.365303,51.585,-116.400833333333,2359,3,,,42824.258648
2416,18,,6,7,18,21,103.791,103.791,8258.25,6829.4,1.20922,1780,1745,35,0.00423819,90,90,796.278,0.300049,0.000376814,-57.2958,-57.2958,130.236,130.236,73901795.365303,51.585,-116.400833333333,2377,3,,,5353.093097
2417,18,,6,7,18,21,103.791,103.791,8258.25,6829.4,1.20922,1780,1745,35,0.00423819,90,90,796.278,0.300049,0.000376814,-57.2958,-57.2958,130.236,130.236,73901795.365303,51.585,-116.400833333333,2360,7,,,5352.995872
2418,13,,4,7,13,21,170.811,170.811,7006.12,6336.63,1.10565,1817.2,1745,72.2001,0.0103053,192.529,12.5288,3536.03,32.7,0.00924763,-57.2958,-57.2958,130.236,130.236,28730286.397531,51.6116666666667,-116.31375,2362,11,,,5352.995872
2419,13,,4,7,13,21,170.811,170.811,7006.12,6336.63,1.10565,1817.2,1745,72.2001,0.0103053,192.529,12.5288,3536.03,32.7,0.00924763,-57.2958,-57.2958,130.236,130.236,28730286.397531,51.6116666666667,-116.31375,2363,1,,,5352.995872
2420,6,,5,9,6,17,117.672,117.672,7601.3,6191.36,1.22773,1933.2,1789.1,144.1,0.0189573,135,135,956.488,53.6001,0.0560384,-57.2958,-57.2958,169.695,169.695,56921335.04393,51.5883333333333,-116.214583333333,2350,5,,,64236.144907
2421,6,,5,9,6,17,117.672,117.672,7601.3,6191.36,1.22773,1933.2,1789.1,144.1,0.0189573,135,135,956.488,53.6001,0.0560384,-57.2958,-57.2958,169.695,169.695,56921335.04393,51.5883333333333,-116.214583333333,2380,5,,,182014.304206
2422,3,,3,8,3,15,166.884,166.884,11504.2,9649.78,1.19217,1967.9,1801.1,166.8,0.0144991,232.431,52.4314,1306.99,16.2,0.0123949,-57.2958,-57.2958,135,135,116312015.727092,51.6516666666667,-116.16,2365,5,,,5352.995872
2423,3,,3,8,3,15,166.884,166.884,11504.2,9649.78,1.19217,1967.9,1801.1,166.8,0.0144991,232.431,52.4314,1306.99,16.2,0.0123949,-57.2958,-57.2958,135,135,116312015.727092,51.6516666666667,-116.16,2352,7,,,16058.793163
2424,3,,3,8,3,15,166.884,166.884,11504.2,9649.78,1.19217,1967.9,1801.1,166.8,0.0144991,232.431,52.4314,1306.99,16.2,0.0123949,-57.2958,-57.2958,135,135,116312015.727092,51.6516666666667,-116.16,2369,5,,,5352.995871
2425,3,,3,8,3,15,166.884,166.884,11504.2,9649.78,1.19217,1967.9,1801.1,166.8,0.0144991,232.431,52.4314,1306.99,16.2,0.0123949,-57.2958,-57.2958,135,135,116312015.727092,51.6516666666667,-116.16,2371,4,,,32118.461354
2426,3,,3,8,3,15,166.884,166.884,11504.2,9649.78,1.19217,1967.9,1801.1,166.8,0.0144991,232.431,52.4314,1306.99,16.2,0.0123949,-57.2958,-57.2958,135,135,116312015.727092,51.6516666666667,-116.16,2392,5,,,10706.283417
2427,3,,3,8,3,15,166.884,166.884,11504.2,9649.78,1.19217,1967.9,1801.1,166.8,0.0144991,232.431,52.4314,1306.99,16.2,0.0123949,-57.2958,-57.2958,135,135,116312015.727092,51.6516666666667,-116.16,2393,3,,,42825.425339
2428,18,,6,7,18,21,103.791,103.791,8258.25,6829.4,1.20922,1780,1745,35,0.00423819,90,90,796.278,0.300049,0.000376814,-57.2958,-57.2958,130.236,130.236,73901795.365303,51.585,-116.400833333333,2357,7,,,144537.791416
2429,18,,6,7,18,21,103.791,103.791,8258.25,6829.4,1.20922,1780,1745,35,0.00423819,90,90,796.278,0.300049,0.000376814,-57.2958,-57.2958,130.236,130.236,73901795.365303,51.585,-116.400833333333,2372,4,,,16059.473738
2430,18,,6,7,18,21,103.791,103.791,8258.25,6829.4,1.20922,1780,1745,35,0.00423819,90,90,796.278,0.300049,0.000376814,-57.2958,-57.2958,130.236,130.236,73901795.365303,51.585,-116.400833333333,2374,8,,,5353.093097
2431,18,,6,7,18,21,103.791,103.791,8258.25,6829.4,1.20922,1780,1745,35,0.00423819,90,90,796.278,0.300049,0.000376814,-57.2958,-57.2958,130.236,130.236,73901795.365303,51.585,-116.400833333333,2398,8,,,10706.380641
2432,18,,6,7,18,21,103.791,103.791,8258.25,6829.4,1.20922,1780,1745,35,0.00423819,90,90,796.278,0.300049,0.000376814,-57.2958,-57.2958,130.236,130.236,73901795.365303,51.585,-116.400833333333,2376,7,,,385449.633287
2433,18,,6,7,18,21,103.791,103.791,8258.25,6829.4,1.20922,1780,1745,35,0.00423819,90,90,796.278,0.300049,0.000376814,-57.2958,-57.2958,130.236,130.236,73901795.365303,51.585,-116.400833333333,2400,7,,,53533.750419
2434,18,,6,7,18,21,103.791,103.791,8258.25,6829.4,1.20922,1780,1745,35,0.00423819,90,90,796.278,0.300049,0.000376814,-57.2958,-57.2958,130.236,130.236,73901795.365303,51.585,-116.400833333333,2361,7,,,21412.080712
2435,13,,4,7,13,21,170.811,170.811,7006.12,6336.63,1.10565,1817.2,1745,72.2001,0.0103053,192.529,12.5288,3536.03,32.7,0.00924763,-57.2958,-57.2958,130.236,130.236,28730286.397531,51.6116666666667,-116.31375,2403,8,,,21412.955728
2436,6,,5,9,6,17,117.672,117.672,7601.3,6191.36,1.22773,1933.2,1789.1,144.1,0.0189573,135,135,956.488,53.6001,0.0560384,-57.2958,-57.2958,169.695,169.695,56921335.04393,51.5883333333333,-116.214583333333,2379,3,,,37471.943349
2437,6,,5,9,6,17,117.672,117.672,7601.3,6191.36,1.22773,1933.2,1789.1,144.1,0.0189573,135,135,956.488,53.6001,0.0560384,-57.2958,-57.2958,169.695,169.695,56921335.04393,51.5883333333333,-116.214583333333,2364,10,,,26765.173808
2438,6,,5,9,6,17,117.672,117.672,7601.3,6191.36,1.22773,1933.2,1789.1,144.1,0.0189573,135,135,956.488,53.6001,0.0560384,-57.2958,-57.2958,169.695,169.695,56921335.04393,51.5883333333333,-116.214583333333,2406,7,,,21412.761283
2439,6,,5,9,6,17,117.672,117.672,7601.3,6191.36,1.22773,1933.2,1789.1,144.1,0.0189573,135,135,956.488,53.6001,0.0560384,-57.2958,-57.2958,169.695,169.695,56921335.04393,51.5883333333333,-116.214583333333,2382,7,,,5353.093097
2440,3,,3,8,3,15,166.884,166.884,11504.2,9649.78,1.19217,1967.9,1801.1,166.8,0.0144991,232.431,52.4314,1306.99,16.2,0.0123949,-57.2958,-57.2958,135,135,116312015.727092,51.6516666666667,-116.16,2383,5,,,5353.093097
2441,3,,3,8,3,15,166.884,166.884,11504.2,9649.78,1.19217,1967.9,1801.1,166.8,0.0144991,232.431,52.4314,1306.99,16.2,0.0123949,-57.2958,-57.2958,135,135,116312015.727092,51.6516666666667,-116.16,2384,10,,,5353.093097
2442,3,,3,8,3,15,166.884,166.884,11504.2,9649.78,1.19217,1967.9,1801.1,166.8,0.0144991,232.431,52.4314,1306.99,16.2,0.0123949,-57.2958,-57.2958,135,135,116312015.727092,51.6516666666667,-116.16,2367,7,,,21412.177937
2443,3,,3,8,3,15,166.884,166.884,11504.2,9649.78,1.19217,1967.9,1801.1,166.8,0.0144991,232.431,52.4314,1306.99,16.2,0.0123949,-57.2958,-57.2958,135,135,116312015.727092,51.6516666666667,-116.16,2409,4,,,21412.955728
2444,3,,3,8,3,15,166.884,166.884,11504.2,9649.78,1.19217,1967.9,1801.1,166.8,0.0144991,232.431,52.4314,1306.99,16.2,0.0123949,-57.2958,-57.2958,135,135,116312015.727092,51.6516666666667,-116.16,2386,7,,,5353.093097
2445,3,,3,8,3,15,166.884,166.884,11504.2,9649.78,1.19217,1967.9,1801.1,166.8,0.0144991,232.431,52.4314,1306.99,16.2,0.0123949,-57.2958,-57.2958,135,135,116312015.727092,51.6516666666667,-116.16,2387,10,,,139187.226094
2446,3,,3,8,3,15,166.884,166.884,11504.2,9649.78,1.19217,1967.9,1801.1,166.8,0.0144991,232.431,52.4314,1306.99,16.2,0.0123949,-57.2958,-57.2958,135,135,116312015.727092,51.6516666666667,-116.16,2368,7,,,10706.088968
2447,3,,3,8,3,15,166.884,166.884,11504.2,9649.78,1.19217,1967.9,1801.1,166.8,0.0144991,232.431,52.4314,1306.99,16.2,0.0123949,-57.2958,-57.2958,135,135,116312015.727092,51.6516666666667,-116.16,2389,5,,,5353.093097
2448,3,,3,8,3,15,166.884,166.884,11504.2,9649.78,1.19217,1967.9,1801.1,166.8,0.0144991,232.431,52.4314,1306.99,16.2,0.0123949,-57.2958,-57.2958,135,135,116312015.727092,51.6516666666667,-116.16,2390,5,,,5353.093097
2449,18,,6,7,18,21,103.791,103.791,8258.25,6829.4,1.20922,1780,1745,35,0.00423819,90,90,796.278,0.300049,0.000376814,-57.2958,-57.2958,130.236,130.236,73901795.365303,51.585,-116.400833333333,2355,5,,,26765.562706
2450,18,,6,7,18,21,103.791,103.791,8258.25,6829.4,1.20922,1780,1745,35,0.00423819,90,90,796.278,0.300049,0.000376814,-57.2958,-57.2958,130.236,130.236,73901795.365303,51.585,-116.400833333333,2395,3,,,5353.190321
2451,18,,6,7,18,21,103.791,103.791,8258.25,6829.4,1.20922,1780,1745,35,0.00423819,90,90,796.278,0.300049,0.000376814,-57.2958,-57.2958,130.236,130.236,73901795.365303,51.585,-116.400833333333,2413,3,,,5353.287543
2452,18,,6,7,18,21,103.791,103.791,8258.25,6829.4,1.20922,1780,1745,35,0.00423819,90,90,796.278,0.300049,0.000376814,-57.2958,-57.2958,130.236,130.236,73901795.365303,51.585,-116.400833333333,2397,5,,,5353.190321
2453,18,,6,7,18,21,103.791,103.791,8258.25,6829.4,1.20922,1780,1745,35,0.00423819,90,90,796.278,0.300049,0.000376814,-57.2958,-57.2958,130.236,130.236,73901795.365303,51.585,-116.400833333333,2401,10,,,48179.782333
2454,13,,4,7,13,21,170.811,170.811,7006.12,6336.63,1.10565,1817.2,1745,72.2001,0.0103053,192.529,12.5288,3536.03,32.7,0.00924763,-57.2958,-57.2958,130.236,130.236,28730286.397531,51.6116666666667,-116.31375,2402,1,,,5353.190321
2455,13,,4,7,13,21,170.811,170.811,7006.12,6336.63,1.10565,1817.2,1745,72.2001,0.0103053,192.529,12.5288,3536.03,32.7,0.00924763,-57.2958,-57.2958,130.236,130.236,28730286.397531,51.6116666666667,-116.31375,2345,10,,,42824.355869
2456,13,,4,7,13,21,170.811,170.811,7006.12,6336.63,1.10565,1817.2,1745,72.2001,0.0103053,192.529,12.5288,3536.03,32.7,0.00924763,-57.2958,-57.2958,130.236,130.236,28730286.397531,51.6116666666667,-116.31375,2378,9,,,16059.473738
2457,13,,4,7,13,21,170.811,170.811,7006.12,6336.63,1.10565,1817.2,1745,72.2001,0.0103053,192.529,12.5288,3536.03,32.7,0.00924763,-57.2958,-57.2958,130.236,130.236,28730286.397531,51.6116666666667,-116.31375,2414,9,,,5353.287543
2458,13,,4,7,13,21,170.811,170.811,7006.12,6336.63,1.10565,1817.2,1745,72.2001,0.0103053,192.529,12.5288,3536.03,32.7,0.00924763,-57.2958,-57.2958,130.236,130.236,28730286.397531,51.6116666666667,-116.31375,2415,8,,,5353.287543
2459,13,,4,7,13,21,170.811,170.811,7006.12,6336.63,1.10565,1817.2,1745,72.2001,0.0103053,192.529,12.5288,3536.03,32.7,0.00924763,-57.2958,-57.2958,130.236,130.236,28730286.397531,51.6116666666667,-116.31375,2416,10,,,5353.287543
2460,6,,5,9,6,17,117.672,117.672,7601.3,6191.36,1.22773,1933.2,1789.1,144.1,0.0189573,135,135,956.488,53.6001,0.0560384,-57.2958,-57.2958,169.695,169.695,56921335.04393,51.5883333333333,-116.214583333333,2417,4,,,1552689.039329
2461,6,,5,9,6,17,117.672,117.672,7601.3,6191.36,1.22773,1933.2,1789.1,144.1,0.0189573,135,135,956.488,53.6001,0.0560384,-57.2958,-57.2958,169.695,169.695,56921335.04393,51.5883333333333,-116.214583333333,2381,3,,,26765.659932
2462,3,,3,8,3,15,166.884,166.884,11504.2,9649.78,1.19217,1967.9,1801.1,166.8,0.0144991,232.431,52.4314,1306.99,16.2,0.0123949,-57.2958,-57.2958,135,135,116312015.727092,51.6516666666667,-116.16,2206,3,,,5353.190321
2463,3,,3,8,3,15,166.884,166.884,11504.2,9649.78,1.19217,1967.9,1801.1,166.8,0.0144991,232.431,52.4314,1306.99,16.2,0.0123949,-57.2958,-57.2958,135,135,116312015.727092,51.6516666666667,-116.16,2418,3,,,5353.287543
2464,3,,3,8,3,15,166.884,166.884,11504.2,9649.78,1.19217,1967.9,1801.1,166.8,0.0144991,232.431,52.4314,1306.99,16.2,0.0123949,-57.2958,-57.2958,135,135,116312015.727092,51.6516666666667,-116.16,2385,7,,,21412.566835
2465,3,,3,8,3,15,166.884,166.884,11504.2,9649.78,1.19217,1967.9,1801.1,166.8,0.0144991,232.431,52.4314,1306.99,16.2,0.0123949,-57.2958,-57.2958,135,135,116312015.727092,51.6516666666667,-116.16,2410,7,,,5353.190321
2466,3,,3,8,3,15,166.884,166.884,11504.2,9649.78,1.19217,1967.9,1801.1,166.8,0.0144991,232.431,52.4314,1306.99,16.2,0.0123949,-57.2958,-57.2958,135,135,116312015.727092,51.6516666666667,-116.16,2388,10,,,10706.283417
2467,3,,3,8,3,15,166.884,166.884,11504.2,9649.78,1.19217,1967.9,1801.1,166.8,0.0144991,232.431,52.4314,1306.99,16.2,0.0123949,-57.2958,-57.2958,135,135,116312015.727092,51.6516666666667,-116.16,2411,10,,,5353.190321
2468,3,,3,8,3,15,166.884,166.884,11504.2,9649.78,1.19217,1967.9,1801.1,166.8,0.0144991,232.431,52.4314,1306.99,16.2,0.0123949,-57.2958,-57.2958,135,135,116312015.727092,51.6516666666667,-116.16,2391,3,,,64240.714386
2469,18,,6,7,18,21,103.791,103.791,8258.25,6829.4,1.20922,1780,1745,35,0.00423819,90,90,796.278,0.300049,0.000376814,-57.2958,-57.2958,130.236,130.236,73901795.365303,51.585,-116.400833333333,2354,3,,,69590.59915
2470,18,,6,7,18,21,103.791,103.791,8258.25,6829.4,1.20922,1780,1745,35,0.00423819,90,90,796.278,0.300049,0.000376814,-57.2958,-57.2958,130.236,130.236,73901795.365303,51.585,-116.400833333333,2394,5,,,235553.401753
2471,18,,6,7,18,21,103.791,103.791,8258.25,6829.4,1.20922,1780,1745,35,0.00423819,90,90,796.278,0.300049,0.000376814,-57.2958,-57.2958,130.236,130.236,73901795.365303,51.585,-116.400833333333,2396,3,,,10706.477864
